id;doi;count;year;issn;title;publisher;discipline;electronic
47;10.5465/annals.2016.0095;119;2018;1941-6520;Successful Organizational Change: Integrating the Management Practice and Scholarly Literatures;Academy of Management Annals;bwl;\N
49;10.5465/annals.2016.0008;46;2018;1941-6520;Personality Change: Implications for Organizational Behavior;Academy of Management Annals;bwl;\N
50;10.5465/annals.2015.0121;78;2017;1941-6520;Inducements and Motives at the Top: A Holistic Perspective on the Drivers of Executive Behavior;Academy of Management Annals;bwl;\N
52;10.5465/annals.2015.0155;41;2017;1941-6520;Workplace Courage: Review, Synthesis, and Future Agenda for a Complex Construct;Academy of Management Annals;bwl;\N
53;10.1080/19416520.2016.1120963;21;2016;1941-6520;Narratives as Sources of Stability and Change in Organizations;The Academy of Management Annals;bwl;\N
54;10.5465/annals.2016.0124;39;2018;1941-6520;The Formation of Organizational Reputation;Academy of Management Annals;bwl;\N
55;10.1080/19416520.2011.589594;132;2011;1941-6520;Crisis management: Informing a new leadership research agenda;Academy of Management Annals;bwl;\N
56;10.1080/19416520.2014.873177;14;2014;1941-6520;The Academy of Management Annals Sensemaking in Organizations :;The Academy of Management Annals;bwl;\N
57;10.5465/19416520.2013.774981;282;2018;1941-6520;Returning to the Frontier of Contingency Theory of Organizational and Institutional Designs;Academy of Management Annals;bwl;\N
58;10.1080/19416520.2013.774981;1;2013;1941-6520;Returning to the Frontier of Contingency Theory of Organizational and Institutional Designs;The Academy of Management Annals;bwl;\N
60;10.5465/annals.2014.0086;62;2017;1941-6520; An Aspirational View of Organizational Control Research: Re-invigorating Empirical Work to Better Meet the Challenges of 21 st Century Organizations ;Academy of Management Annals;bwl;\N
62;10.1080/19416520.2015.1024498;4;2015;1941-6520;The Academy of Management Annals Modelling Bounded Rationality in Organizations : Progress and Prospects Modelling Bounded Rationality in Organizations :;The Academy of Management Annals;bwl;\N
63;10.5465/19416520.2013.787709;71;2018;1941-6520;Research on Markets for Inventions and Implications for R&D Allocation Strategies;Academy of Management Annals;bwl;\N
64;10.1080/19416520.2016.1153260;33;2016;1941-6520;The Bright Side of Being Prosocial at Work, and the Dark Side, Too:;The Academy of Management Annals;bwl;\N
65;10.1080/19416520.2012.691646;352;2012;1941-6520;The Two Facets of Collaboration: Cooperation and Coordination in Strategic Alliances;Academy of Management Annals;bwl;\N
66;10.1080/19416520.2013.783669;6;2013;1941-6520;A Behavioral Theory of Corporate Governance: Explicating the Mechanisms of Socially Situated and Socially Constituted Agency;The Academy of Management Annals;bwl;\N
67;10.5465/annals.2016.0017;81;2017;1941-6520;A Matter of Life or Death: How Extreme Context Research Matters for Management and Organization Studies;Academy of Management Annals;bwl;\N
68;10.5465/annals.2014.0046;144;2017;1941-6520;Microdynamics in Diverse Teams: A Review and Integration of the Diversity and Stereotyping Literatures;Academy of Management Annals;bwl;\N
69;10.5465/annals.2016.0089;80;2018;1941-6520;Categorizing Institutional Logics, Institutionalizing Categories: A Review of Two Literatures;Academy of Management Annals;bwl;\N
71;10.1080/19416520.2011.590297;283;2011;1941-6520;Dynamics in groups: Are we there yet?;Academy of Management Annals;bwl;\N
73;10.1080/19416520.2011.593319;6;2011;1941-6520;Field Research Practice in Management and Organization Studies: Reclaiming its Tradition of Discovery;Academy of Management Annals;bwl;\N
74;10.1080/19416520.2016.1161965;5;2016;1941-6520;Construct Mixology;The Academy of Management Annals;bwl;\N
75;10.1080/19416520.2012.681558;266;2012;1941-6520;Organizational Discourse: Domains, Debates, and Directions;Academy of Management Annals;bwl;\N
79;10.1080/19416520.2011.586108;189;2011;1941-6520;Putting the global in global work: An intercultural lens on the practice of cross-national collaboration;Academy of Management Annals;bwl;\N
80;10.1080/19416520.2011.571520;218;2011;1941-6520;Action research: Exploring perspectives on a philosophy of practical knowing;Academy of Management Annals;bwl;\N
82;10.5465/annals.2014.0066;82;2017;1941-6520;Understanding the Dual Nature of Ambivalence: Why and When Ambivalence Leads to Good and Bad Outcomes;Academy of Management Annals;bwl;\N
83;10.5465/annals.2016.0049;94;2017;1941-6520;Opportunity, Motivation, and Ability to Learn from Failures and Errors: Review, Synthesis, and Ways to Move Forward;Academy of Management Annals;bwl;\N
84;10.5465/annals.2015.0151;98;2017;1941-6520;A Look Back and a Leap Forward: A Review and Synthesis of the Individual Work Performance Literature;Academy of Management Annals;bwl;\N
85;10.5465/annals.2016.0014;189;2018;1941-6520;Quo Vadis, Dynamic Capabilities? A Content-Analytic Review of the Current State of Knowledge and Recommendations for Future Research;Academy of Management Annals;bwl;\N
86;10.5465/annals.2016.0011;181;2017;1941-6520;What You See Is What You Get? Enhancing Methodological Transparency in Management Research;Academy of Management Annals;bwl;\N
88;10.1080/19416520.2016.1162013;3;2016;1941-6520;The Academy of Management Annals Career Mobility in a Global Era : Advances in Managing Expatriation and Repatriation Career Mobility in a Global Era Advances in Managing Expatriation and Repatriation;The Academy of Management Annals;bwl;\N
89;10.5465/annals.2016.0059;78;2017;1941-6520;Work–Life Flexibility for Whom? Occupational Status and Work–Life Inequality in Upper, Middle, and Lower Level Jobs;Academy of Management Annals;bwl;\N
90;10.5465/annals.2016.0033;53;2017;1941-6520;A Pluralistic Perspective to Overcome Major Blind Spots in Research on Interorganizational Relationships;Academy of Management Annals;bwl;\N
91;10.5465/annals.2015.0125;83;2017;1941-6520;Scaling: Organizing and Growth in Entrepreneurial Ventures;Academy of Management Annals;bwl;\N
92;10.5465/annals.2014.0051;71;2017;1941-6520;A Critical Analysis of the Conceptualization and Measurement of Organizational Justice: Is It Time for Reassessment?;Academy of Management Annals;bwl;\N
94;10.5465/annals.2014.0001;51;2017;1941-6520;Cooperation across Disciplines: A Multilevel Perspective on Cooperative Behavior in Governing Interfirm Relations;Academy of Management Annals;bwl;\N
95;10.1080/19416520.2016.1162421;4;2017;1941-6520;The Academy of Management Annals Contradictions , Dialectics , and Paradoxes in Organizations : A Constitutive Approach Contradictions , Dialectics , and Paradoxes in Organizations : A Constitutive Approach †;\N;bwl;\N
96;10.5465/annals.2014.0052;147;2017;1941-6520;Field or Fields? Building the Scaffolding for Cumulation of Research on Institutional Fields;Academy of Management Annals;bwl;\N
97;10.5465/annals.2015.0144;123;2017;1941-6520;Social Media and Their Affordances for Organizing: A Review and Agenda for Research;Academy of Management Annals;bwl;\N
99;10.5465/annals.2014.0053;75;2017;1941-6520;Introducing the Family: A Review of Family Science with Implications for Management Research;Academy of Management Annals;bwl;\N
100;10.1080/19416520.2012.667612;364;2012;1941-6520;Leadership in the Plural;Academy of Management Annals;bwl;\N
102;10.5465/19416520.2013.774213;134;2018;1941-6520;Labor Market Intermediaries and the New Paradigm for Human Resources;Academy of Management Annals;bwl;\N
103;10.5465/annals.2016.0053;24;2018;1941-6520;More than a Phase: Form and Features of a General Theory of Negotiation;Academy of Management Annals;bwl;\N
104;10.5465/annals.2015.0134;1;2017;1941-6520;Organizational Response to Adversity: Fusing Crisis Management and Resilience Research Streams;Academy of Management Annals;bwl;\N
105;10.5465/annals.2015.0133;123;2017;1941-6520;Time in Strategic Change Research;Academy of Management Annals;bwl;\N
109;10.1080/19416520.2012.656841;654;2012;1941-6520;The Behavioral Theory of the Firm: Assessment and Prospects;Academy of Management Annals;bwl;\N
111;10.5465/annals.2015.0099;281;2017;1941-6520;Social Exchange Theory: A Critical Review with Theoretical Remedies;Academy of Management Annals;bwl;\N
112;10.5465/annals.2015.0095;231;2017;1941-6520;Similar But Not the Same: Differentiating Corporate Sustainability from Corporate Responsibility;Academy of Management Annals;bwl;\N
113;10.5465/annals.2014.0072;440;2017;1941-6520;A Critical Assessment of Business Model Research;Academy of Management Annals;bwl;\N
114;10.5465/19416520.2013.783669;149;2018;1941-6520;A Behavioral Theory of Corporate Governance: Explicating the Mechanisms of Socially Situated and Socially Constituted Agency;Academy of Management Annals;bwl;\N
115;10.1080/19416520.2013.781862;24;2013;1941-6520;More than a Metaphor: Assessing the Historical Legacy of Resource Dependence and its Contemporary Promise as a Theory of Environmental Complexity;The Academy of Management Annals;bwl;\N
116;10.5465/19416520.2013.781862;275;2018;1941-6520;More than a Metaphor: Assessing the Historical Legacy of Resource Dependence and its Contemporary Promise as a Theory of Environmental Complexity;Academy of Management Annals;bwl;\N
119;10.5465/amj.2016.1091;18;2018;0001-4273;Boards as a Source of Inertia: Examining the Internal Challenges and Dynamics of Boards of Directors in Times of Environmental Discontinuities;Academy of Management Journal;bwl;\N
120;10.5465/amj.2015.0856;57;2018;0001-4273;When brokerage between friendship cliques endangers trust: A personality-network fit perspective;Academy of Management Journal;bwl;\N
121;10.5465/amj.2014.0839;65;2018;0001-4273;Does “could” lead to good? On the road to moral insight;Academy of Management Journal;bwl;\N
122;10.5465/amj.2018.4003;10;2018;0001-4273;From the Editors New Ways of Seeing : Pitfalls and Opportunities in;Academy of Management Journal;bwl;\N
123;10.5465/amj.2016.0416;48;2018;0001-4273;Geographic co-location of partners and rivals: Implications for the design of R&D alliances;Academy of Management Journal;bwl;\N
124;10.5465/amj.2014.1142;95;2017;0001-4273;Discordant vs. Harmonious selves: The effects of identity conflict and enhancement on sales performance in employee-customer interactions;Academy of Management Journal;bwl;\N
125;10.5465/amj.2015.1238;1;2018;0001-4273;._2014 BBRC-c-Cbl regulates αPix-mediated cell migration and invasion.pdf;\N;bwl;\N
126;10.5465/amj.2016.4005;264;2016;0001-4273;Big data and data science methods for management research;Academy of Management Journal;bwl;\N
127;10.5465/amj.2015.4011;145;2015;0001-4273;Gender research in AMJ: An overview of five decades of empirical research and calls to action;Academy of Management Journal;bwl;\N
128;10.5465/amj.2013.0303;11;2013;0001-4273;Leadership Over-emergence in Self-managing Teams : The Role of Gender and Countervailing Biases Klodiana Lanaj University of Florida;\N;bwl;\N
129;10.5465/amj.2015.0461;64;2017;0001-4273;Male immorality: An evolutionary account of sex differences in unethical negotiation behavior;Academy of Management Journal;bwl;\N
130;10.5465/amj.2010.0179;330;2011;0001-4273;Examining the effects of sleep deprivation on workplace deviance: A self-regulatory perspective;Academy of Management Journal;bwl;\N
131;10.5465/amj.2010.0588;773;2012;0001-4273;Leading with meaning: Beneficiary contact, prosocial impact, and the performance effects of transformational leadership;Academy of Management Journal;bwl;\N
132;10.5465/amj.2011.0977;0;2012;0001-4273;Abusive Supervision and Retaliation: A Self-Control Framework;Academy of Management Journal;bwl;\N
133;10.5465/amj.2014.0262;249;2016;0001-4273;Integrating the bright and dark sides of OCB: A daily investigation of the benefits and costs of helping others;Academy of Management Journal;bwl;\N
134;10.5465/amj.2013.0216;152;2015;0001-4273;Same page, different books: Extending representational gaps theory to enhance performance in Multiteam systems;Academy of Management Journal;bwl;\N
136;10.5465/amj.2018.0272;15;2018;0001-4273;Give Them Some Slack—They’re Trying to Change! The Benefits of Excess Cash, Excess Employees, and Increased Human Capital in the Strategic Change Context;Academy of Management Journal;bwl;\N
137;10.5465/amj.2011.0196;5;2013;0001-4273;Is this how I will be treated? Reducing uncertainty through recruitment interactions;Academy of Management Journal;bwl;\N
138;10.5465/amj.2014.0455;161;2017;0001-4273;Is consistently unfair better than sporadically fair? An investigation of justice variability and stress;Academy of Management Journal;bwl;\N
139;10.5465/amj.2015.1295;22;2018;0001-4273;No Time Like the Present: How a Present Time Perspective Can Foster Sustainable Development;Academy of Management Journal;bwl;\N
140;10.5465/amj.2015.0264;59;2018;0001-4273;Fish out of water: Translation, legitimation, and new venture creation;Academy of Management Journal;bwl;\N
141;10.5465/amj.2013.0767;141;2016;0001-4273;Classical deviation: Organizational and individual status as antecedents of conformity;Academy of Management Journal;bwl;\N
142;10.5465/amj.2014.0092;103;2017;0001-4273;Emotions uncorked: Inspiring evangelism for the emerging practice of cool-climate winemaking in Ontario;Academy of Management Journal;bwl;\N
143;10.5465/amj.2014.0842;101;2017;0001-4273;Design performances: How organizations inscribe artifacts to change routines;Academy of Management Journal;bwl;\N
144;10.5465/amj.2012.1004;219;2015;0001-4273;When times collide: Temporal brokerage at the intersection of markets and developments;Academy of Management Journal;bwl;\N
145;10.5465/AMJ.2011.60263060;2;2011;0001-4273;Figure Radiazione Monografia;\N;bwl;\N
146;10.5465/amj.2010.0734;17;2013;0001-4273;Choice, Chance, and Unintended Consequences in Strategic Change: A Process Understanding of the Rise and Fall of NorthCo Automotive;Academy of Management Journal;bwl;\N
147;10.5465/amj.2011.0979;182;2014;0001-4273;Friends and foes: The dynamics of dual social structures;Academy of Management Journal;bwl;\N
148;10.5465/amj.2013.1109;212;2016;0001-4273;Fail often, fail big, and fail fast? Learning from small failures and R&D performance in the pharmaceutical industry;Academy of Management Journal;bwl;\N
149;10.5465/amj.2015.0681;106;2016;0001-4273;Some things can never be unseen: The role of context in psychological injury at war;Academy of Management Journal;bwl;\N
150;10.5465/amj.2014.0221;1;2015;0001-4273;An Approach-Avoidance Framework of Workplace Aggression;Academy of Management Journal;bwl;\N
151;10.5465/amj.2016.0245;30;2018;0001-4273;Relational attachment at work: A complementary fit perspective on the role of relationships in organizational life;Academy of Management Journal;bwl;\N
152;10.5465/amj.2016.0319;8;2018;0001-4273;Dynamics and Implications of Distress Organizing;Academy of Management Journal;bwl;\N
153;10.5465/amj.2016.0543;22;2018;0001-4273;Public Governance, Corporate Governance, and Firm Innovation: An Examination of State-Owned Enterprises;Academy of Management Journal;bwl;\N
154;10.5465/amj.2016.0646;31;2018;0001-4273;Can You Handle the Pressure? The Effect of Performance Pressure on Stress Appraisals, Self-Regulation, and Behavior;Academy of Management Journal;bwl;\N
155;10.5465/amj.2016.0914;32;2018;0001-4273;The Coevolution of Social Networks and Thoughts of Quitting;Academy of Management Journal;bwl;\N
156;10.5465/amj.2016.0860;17;2018;0001-4273;GENDER, BROKERAGE AND PERFORMANCE: A CONSTRUAL APPROACH;Academy of Management Journal;bwl;\N
157;10.5465/amj.2016.1062;22;2018;0001-4273;Examination of CEO-CFO Social Interaction through Language Style Matching: Outcomes for the CFO and the Organization;Academy of Management Journal;bwl;\N
158;10.5465/amj.2017.0046;20;2018;0001-4273;Experience and Behavior: How Negative Feedback in New Versus Experienced Domains Affects Firm Action and Subsequent Performance;Academy of Management Journal;bwl;\N
159;10.5465/amj.2017.0114;17;2018;0001-4273;HUMAN CAPITAL ACQUISITION AND ORGANIZATIONAL INNOVATION: A TEMPORAL PERSPECTIVE;Academy of Management Journal;bwl;\N
160;10.5465/amj.2017.0140;11;2018;0001-4273;Toward a Model of Organizational Mourning: The Case of Former Lehman Brothers Bankers;Academy of Management Journal;bwl;\N
161;10.5465/amj.2017.0323;26;2018;0001-4273;Dominant Coalitions Directing Acquisitions: Different Decision Makers, Different Decisions;Academy of Management Journal;bwl;\N
162;10.5465/amj.2017.0275;9;2018;0001-4273;When Do Ethnic Communities Affect Foreign Location Choice? Dual Entry Strategies of Korean Banks in China;Academy of Management Journal;bwl;\N
163;10.5465/amj.2017.0440;36;2018;0001-4273;Diversity Thresholds: How Social Norms, Visibility, and Scrutiny Relate to Group Composition;Academy of Management Journal;bwl;\N
164;10.5465/amj.2017.0735;24;2018;0001-4273;Bored by Interest: Intrinsic Motivation in One Task Can Reduce Performance on Other Tasks;Academy of Management Journal;bwl;\N
165;10.5465/amj.2017.0515;2;2018;0001-4273;SOMETHING IN COMMON: COMPETITIVE DISSIMILARITY AND PERFORMANCE OF RIVALS WITH COMMON SHAREHOLDERS;Academy of Management Journal;bwl;\N
166;10.5465/amj.2018.4002;42;2018;0001-4273;New ways of seeing: Radical theorizing;Academy of Management Journal;bwl;\N
167;10.5465/amj.2016.0435;28;2018;0001-4273;Ripping off the band-aid: Scrutiny bundling in the wake of social disapproval;Academy of Management Journal;bwl;\N
168;10.5465/amj.2015.1355;48;2018;0001-4273;Compromised ethics in hiring processes? how referrers' power affects employees' reactions to referral practices;Academy of Management Journal;bwl;\N
169;10.5465/amj.2011.0405;897;2013;0001-4273;Inside the hybrid organization: Selective coupling as a response to competing institutional logics;Academy of Management Journal;bwl;\N
170;10.5465/amj.2011.0756;291;2014;0001-4273;The riddle of heterarchy: Power transitions in cross-functional teams;Academy of Management Journal;bwl;\N
171;10.5465/amj.2014.0506;170;2016;0001-4273;Flourishing via workplace relationships: Moving beyond instrumental support;Academy of Management Journal;bwl;\N
172;10.5465/amj.2011.0812;241;2014;0001-4273;On melting summits: The limitations of field-configuring events as catalysts of change in transnational climate policy;Academy of Management Journal;bwl;\N
173;10.5465/amj.2011.0230;9;2013;0001-4273;ACCESS DENIED: LOW MENTORING OF WOMEN AND MINORITY FIRST-TIME DIRECTORS AND...: EBSCOhost;Eds.a.Ebscohost.Com.Ezproxy.Is.Ed.Ac.Uk;bwl;\N
174;10.5465/amj.2013.0750;198;2015;0001-4273;Gender diversity and securities fraud;Academy of Management Journal;bwl;\N
175;10.5465/amj.2011.0848;404;2014;0001-4273;Why are job seekers attracted by corporate social performance? experimental and field tests of three signal-based mechanisms;Academy of Management Journal;bwl;\N
176;10.5465/amj.2008.0355;2;2013;0001-4273;The interplay of agency, culture, and networks in field evolution;Academy of Management Journal;bwl;\N
177;10.5465/amj.2007.0056;57;2011;0001-4273;Waking up on the right side of the bed: The influence of mood on work attitudes and performance;Academy of Management Journal;bwl;\N
178;10.5465/amj.2010.0894;432;2013;0001-4273;A dynamic perspective on affect and creativity;Academy of Management Journal;bwl;\N
179;10.5465/amj.2015.0310;29;2018;0001-4273;Coordinating service provision in dynamic service settings: A position-practice relations perspective;Academy of Management Journal;bwl;\N
180;10.5465/amj.2014.0847;14;2014;0001-4273;Whose Call to Answer : Institutional Complexity and Firms ’ Whose Call to Answer : Institutional Complexity and Firms ’ CSR Reporting;\N;bwl;\N
181;10.5465/amj.2013.0718;207;2015;0001-4273;Who defers to whom and why? Dual pathways linking demographic differences and dyadic deference to team effectiveness;Academy of Management Journal;bwl;\N
182;10.5465/amj.2010.0176;4;2012;0001-4273;Das Paradox der Verfassungsauslegung;\N;bwl;\N
183;10.5465/amj.2016.4001;109;2016;0001-4273;Reputation and status: Expanding the role of social evaluations in management research;Academy of Management Journal;bwl;\N
184;10.5465/amj.2011.0829;2;2011;0001-4273;Cracking but not Breaking: Joint Effects of Faultline Strength and Diversity Climate on Loyal Behavior;\N;bwl;\N
185;10.5465/amj.2012.1049;208;2015;0001-4273;Weathering a meta-level identity crisis: Forging a coherent collective identity for an emerging field;Academy of Management Journal;bwl;\N
186;10.5465/amj.2011.0064;543;2012;0001-4273;Embedding ethical leadership within and across organization levels;Academy of Management Journal;bwl;\N
187;10.5465/amj.2013.1105;171;2015;0001-4273;When the leader follows: Avoiding dethronement through imitation;Academy of Management Journal;bwl;\N
188;10.5465/AMJ.2011.64868418;2;2011;0001-4273;Erratum: Reversing the extraverted leadership advantage: The role of employee proactivity (Academy of Management Journal (2011));Academy of Management Journal;bwl;\N
189;10.5465/amj.2015.5001;1;2015;0001-4273;"CORRIGENDUM: Lahiri, N. 2010. Geographic Distribution of R&amp;D Activity: How Does It Affect Innovation Quality? Academy of Management Journal, 53(5): 1194-1209.";Academy of Management Journal;bwl;\N
190;10.5465/amj.2012.0644;192;2014;0001-4273;"Why do managers act fairly in the first place? A daily investigation of \hot\"" and \""cold\"" motives and discretion""";Academy of Management Journal;bwl;\N
191;10.5465/amj.2012.1039;130;2015;0001-4273;Modernizing without westernizing: Social structure and economic action in the Indian financial sector;Academy of Management Journal;bwl;\N
192;10.5465/amj.2010.0837;61;2015;0001-4273;SITUATION STRENGTH AND TRAIT ACTIVATION ON THE The Person-Situation Debate Revisited : Effect of Situation Strength and Trait Activation on the Validity of the Big Five Personality Traits in Predicting Job Performance TIMOTHY A . JUDGE Mendoza College of;Amj;bwl;\N
193;10.5465/amj.2010.0628;497;2013;0001-4273;Values work: A process study of the emergence and performance of organizational values practices;Academy of Management Journal;bwl;\N
194;10.5465/amj.2009.0873;192;2012;0001-4273;Contemplation and conversation: Subtle influences on moral decision making;Academy of Management Journal;bwl;\N
195;10.5465/amj.2014.0813;145;2017;0001-4273;How do entrepreneurial founding teams allocate task positions?;Academy of Management Journal;bwl;\N
196;10.5465/amj.2011.0652;5;2011;0001-4273;Organizational Sponsorship and Founding Environments : A Contingency View on the Survival of Business Incubated Organizational Sponsorship and Founding Environments : A Contingency View on the Survival of Business Incubated Firms , 1994-2007 Whitman Schoo;\N;bwl;\N
197;10.5465/amj.2015.0737;62;2017;0001-4273;Pay-for-performance, sometimes: An interdisciplinary approach to integrating economic rationality with psychological emotion to predict individual performance;Academy of Management Journal;bwl;\N
198;10.5465/amj.2011.59215081;178;2011;0001-4273;On becoming extraordinary: The content and structure of the developmental networks of major league baseball hall of famers;Academy of Management Journal;bwl;\N
199;10.5465/amj.2016.0182;67;2018;0001-4273;When interteam conflict spirals into intrateam power struggles: The pivotal role of team power structures;Academy of Management Journal;bwl;\N
200;10.5465/amj.2016.4006;3;2016;0001-4273;From the Editors Management Research in Amj;Academy of Management Journal;bwl;\N
201;10.5465/amj.2015.0038;10;2018;0001-4273;Career Resourcing and the Process of Professional Emergence;Academy of Management Journal;bwl;\N
203;10.5465/amj.2015.1196;16;2018;0001-4273;Visions of Change as Visions of Continuity;Academy of Management Journal;bwl;\N
204;10.5465/amj.2013.0972;101;2016;0001-4273;Relational changes during role transitions: The interplay of efficiency and cohesion;Academy of Management Journal;bwl;\N
205;10.5465/amj.2014.0601;180;2016;0001-4273;Different views of hierarchy and why they matter: Hierarchy as inequality or as cascading influence;Academy of Management Journal;bwl;\N
206;10.5465/amj.2013.1222;9;2013;0001-4273;How do firms adapt ? A fuzzy-set analysis of the role of cognition and capabilities in U . S . defense firms ’ responses to 9 / 11 How do firms adapt ? A fuzzy-set analysis of the role of cognition and capabilities in U . S . defense firms ’ responses to ;\N;bwl;\N
207;10.5465/amj.2013.0180;84;2016;0001-4273;Knowledge inheritance, vertical integration, and entrant survival in the early U.S. Auto industry;Academy of Management Journal;bwl;\N
208;10.5465/amj.2014.1150;60;2017;0001-4273;Language and competition: Communication vagueness, interpretation difficulties, and market entry;Academy of Management Journal;bwl;\N
209;10.5465/amj.2015.0746;151;2016;0001-4273;Understanding community dynamics in the study of grand challenges: How nonprofits, institutional actors, and the community fabric interact to influence income inequality;Academy of Management Journal;bwl;\N
210;10.5465/amj.2010.0948;218;2013;0001-4273;Bridging the mutual knowledge gap: Coordination and the commercialization of university science;Academy of Management Journal;bwl;\N
211;10.5465/amj.2013.1064;98;2018;0001-4273;When and why people engage in different forms of proactive behavior: Interactive effects of self-construals and work characteristics;Academy of Management Journal;bwl;\N
