id;id_doi;category;discipline;count;
182;28;Unspecified;57;182;
183;28;Linguistics;1;183;
184;28;Engineering;12;184;
185;28;Medicine and Dentistry;1;185;
186;28;Biochemistry, Genetics and Molecular Biology;1;186;
187;28;Arts and Humanities;6;187;
188;28;Mathematics;1;188;
189;28;Agricultural and Biological Sciences;3;189;
190;28;Nursing and Health Professions;1;190;
191;28;Earth and Planetary Sciences;1;191;
192;28;Social Sciences;44;192;
193;28;Economics, Econometrics and Finance;10;193;
194;29;Business, Management and Accounting;97;194;
195;29;Economics, Econometrics and Finance;7;195;
196;29;Philosophy;2;196;
197;29;Unspecified;12;197;
198;29;Design;2;198;
199;29;Computer Science;3;199;
200;29;Arts and Humanities;7;200;
201;29;Biochemistry, Genetics and Molecular Biology;1;201;
203;29;Psychology;12;203;
204;30;Business, Management and Accounting;52;204;
205;30;Materials Science;1;205;
206;30;Psychology;30;206;
207;30;Philosophy;1;207;
208;30;Unspecified;12;208;
209;30;Engineering;2;209;
210;30;Computer Science;5;210;
211;30;Arts and Humanities;1;211;
212;30;Neuroscience;1;212;
213;30;Agricultural and Biological Sciences;2;213;
214;30;Social Sciences;5;214;
215;30;Economics, Econometrics and Finance;1;215;
216;31;Business, Management and Accounting;108;216;
217;31;Psychology;1;217;
218;31;Environmental Science;3;218;
219;31;Philosophy;1;219;
220;31;Unspecified;15;220;
221;31;Engineering;2;221;
222;31;Medicine and Dentistry;1;222;
223;31;Design;1;223;
224;31;Arts and Humanities;7;224;
225;31;Biochemistry, Genetics and Molecular Biology;1;225;
226;31;Agricultural and Biological Sciences;3;226;
227;31;Earth and Planetary Sciences;1;227;
228;31;Social Sciences;64;228;
229;31;Economics, Econometrics and Finance;23;229;
230;32;Business, Management and Accounting;153;230;
231;32;Physics and Astronomy;1;231;
232;32;Psychology;33;232;
233;32;Sports and Recreations;3;233;
234;32;Immunology and Microbiology;1;234;
235;32;Philosophy;1;235;
236;32;Computer Science;4;236;
237;32;Unspecified;15;237;
238;32;Engineering;3;238;
239;32;Medicine and Dentistry;2;239;
240;32;Arts and Humanities;1;240;
241;32;Agricultural and Biological Sciences;2;241;
242;32;Nursing and Health Professions;2;242;
243;32;Earth and Planetary Sciences;1;243;
244;32;Social Sciences;26;244;
245;32;Economics, Econometrics and Finance;7;245;
246;33;Business, Management and Accounting;98;246;
247;33;Linguistics;1;247;
248;33;Psychology;2;248;
249;33;Sports and Recreations;1;249;
250;33;Decision Sciences;1;250;
251;33;Unspecified;17;251;
252;33;Engineering;3;252;
253;33;Medicine and Dentistry;1;253;
254;33;Computer Science;8;254;
255;33;Social Sciences;13;255;
256;33;Economics, Econometrics and Finance;1;256;
257;34;Business, Management and Accounting;121;257;
258;34;Economics, Econometrics and Finance;15;258;
259;34;Unspecified;18;259;
260;34;Engineering;1;260;
261;34;Medicine and Dentistry;1;261;
262;34;Computer Science;1;262;
263;34;Social Sciences;37;263;
264;34;Psychology;1;264;
265;35;Business, Management and Accounting;209;265;
266;35;Physics and Astronomy;1;266;
267;35;Psychology;16;267;
268;35;Sports and Recreations;2;268;
269;35;Decision Sciences;1;269;
270;35;Philosophy;2;270;
271;35;Computer Science;4;271;
272;35;Unspecified;35;272;
273;35;Engineering;4;273;
274;35;Medicine and Dentistry;1;274;
275;35;Biochemistry, Genetics and Molecular Biology;1;275;
276;35;Arts and Humanities;4;276;
277;35;Agricultural and Biological Sciences;1;277;
278;35;Social Sciences;52;278;
279;35;Economics, Econometrics and Finance;16;279;
280;36;Business, Management and Accounting;58;280;
281;36;Economics, Econometrics and Finance;4;281;
282;36;Unspecified;9;282;
283;36;Nursing and Health Professions;1;283;
284;36;Engineering;1;284;
285;36;Computer Science;1;285;
286;36;Arts and Humanities;2;286;
287;36;Social Sciences;13;287;
288;36;Psychology;16;288;
289;37;Business, Management and Accounting;42;289;
290;37;Economics, Econometrics and Finance;4;290;
291;37;Unspecified;8;291;
292;37;Engineering;2;292;
293;37;Chemical Engineering;1;293;
294;37;Social Sciences;5;294;
295;37;Psychology;3;295;
296;38;Business, Management and Accounting;66;296;
297;38;Linguistics;1;297;
298;38;Psychology;2;298;
299;38;Unspecified;10;299;
300;38;Engineering;4;300;
301;38;Chemical Engineering;1;301;
302;38;Social Sciences;6;302;
303;39;Business, Management and Accounting;12;303;
304;39;Psychology;1;304;
305;39;Unspecified;2;305;
306;39;Engineering;1;306;
307;39;Nursing and Health Professions;1;307;
308;39;Social Sciences;2;308;
309;39;Arts and Humanities;1;309;
310;40;Business, Management and Accounting;322;310;
311;40;Linguistics;1;311;
312;40;Physics and Astronomy;2;312;
313;40;Psychology;188;313;
314;40;Sports and Recreations;3;314;
315;40;Energy;1;315;
316;40;Philosophy;1;316;
317;40;Computer Science;8;317;
318;40;Unspecified;62;318;
319;40;Biochemistry, Genetics and Molecular Biology;1;319;
320;40;Engineering;1;320;
321;40;Medicine and Dentistry;10;321;
322;40;Design;1;322;
323;40;Arts and Humanities;6;323;
324;40;Mathematics;1;324;
325;40;Agricultural and Biological Sciences;5;325;
326;40;Nursing and Health Professions;11;326;
327;40;Earth and Planetary Sciences;1;327;
328;40;Social Sciences;90;328;
329;40;Economics, Econometrics and Finance;15;329;
330;41;Business, Management and Accounting;1;330;
331;42;Business, Management and Accounting;41;331;
332;42;Psychology;2;332;
333;42;Unspecified;10;333;
335;42;Biochemistry, Genetics and Molecular Biology;1;335;
336;42;Arts and Humanities;1;336;
337;42;Social Sciences;15;337;
338;43;Business, Management and Accounting;40;338;
339;43;Psychology;6;339;
340;43;Chemical Engineering;1;340;
341;43;Sports and Recreations;1;341;
342;43;Unspecified;3;342;
343;43;Engineering;1;343;
344;43;Medicine and Dentistry;1;344;
345;43;Computer Science;1;345;
346;43;Arts and Humanities;1;346;
347;43;Agricultural and Biological Sciences;1;347;
348;43;Social Sciences;4;348;
349;43;Economics, Econometrics and Finance;4;349;
350;44;Business, Management and Accounting;35;350;
351;44;Decision Sciences;1;351;
352;44;Unspecified;9;352;
353;44;Biochemistry, Genetics and Molecular Biology;1;353;
354;44;Arts and Humanities;2;354;
355;44;Social Sciences;8;355;
356;45;Business, Management and Accounting;243;356;
357;45;Materials Science;1;357;
358;45;Physics and Astronomy;1;358;
359;45;Psychology;5;359;
360;45;Environmental Science;1;360;
361;45;Computer Science;10;361;
362;45;Unspecified;22;362;
363;45;Linguistics;1;363;
364;45;Engineering;4;364;
365;45;Medicine and Dentistry;2;365;
366;45;Design;3;366;
367;45;Arts and Humanities;3;367;
368;45;Agricultural and Biological Sciences;1;368;
369;45;Nursing and Health Professions;3;369;
371;45;Social Sciences;33;371;
372;45;Economics, Econometrics and Finance;10;372;
373;46;Business, Management and Accounting;74;373;
374;46;Economics, Econometrics and Finance;4;374;
375;46;Unspecified;13;375;
376;46;Engineering;1;376;
377;46;Biochemistry, Genetics and Molecular Biology;1;377;
378;46;Computer Science;1;378;
379;46;Social Sciences;7;379;
380;46;Psychology;8;380;
381;47;Business, Management and Accounting;57;381;
382;47;Materials Science;1;382;
383;47;Psychology;12;383;
384;47;Decision Sciences;1;384;
385;47;Unspecified;18;385;
386;47;Engineering;3;386;
387;47;Medicine and Dentistry;3;387;
388;47;Computer Science;2;388;
389;47;Arts and Humanities;2;389;
390;47;Social Sciences;19;390;
391;47;Economics, Econometrics and Finance;1;391;
392;48;Business, Management and Accounting;162;392;
393;48;Linguistics;2;393;
394;48;Psychology;63;394;
395;48;Environmental Science;1;395;
396;48;Nursing and Health Professions;2;396;
397;48;Unspecified;26;397;
398;48;Medicine and Dentistry;1;398;
399;48;Design;2;399;
400;48;Arts and Humanities;6;400;
401;48;Biochemistry, Genetics and Molecular Biology;1;401;
402;48;Agricultural and Biological Sciences;1;402;
403;48;Earth and Planetary Sciences;2;403;
404;48;Social Sciences;65;404;
405;48;Economics, Econometrics and Finance;5;405;
406;49;Business, Management and Accounting;19;406;
407;49;Economics, Econometrics and Finance;1;407;
408;49;Unspecified;13;408;
409;49;Nursing and Health Professions;1;409;
410;49;Engineering;1;410;
411;49;Biochemistry, Genetics and Molecular Biology;1;411;
412;49;Computer Science;1;412;
413;49;Social Sciences;2;413;
414;49;Psychology;7;414;
415;50;Business, Management and Accounting;51;415;
416;50;Economics, Econometrics and Finance;3;416;
417;50;Environmental Science;1;417;
418;50;Unspecified;8;418;
419;50;Engineering;2;419;
420;50;Agricultural and Biological Sciences;1;420;
421;50;Social Sciences;6;421;
422;50;Psychology;6;422;
423;51;Business, Management and Accounting;36;423;
424;51;Economics, Econometrics and Finance;2;424;
425;51;Unspecified;2;425;
426;51;Engineering;1;426;
427;51;Design;1;427;
428;51;Arts and Humanities;1;428;
429;51;Social Sciences;7;429;
430;51;Psychology;2;430;
431;52;Business, Management and Accounting;19;431;
432;52;Economics, Econometrics and Finance;2;432;
433;52;Nursing and Health Professions;1;433;
434;52;Biochemistry, Genetics and Molecular Biology;1;434;
435;52;Unspecified;7;435;
436;52;Agricultural and Biological Sciences;1;436;
437;52;Social Sciences;5;437;
438;52;Psychology;5;438;
439;53;Business, Management and Accounting;9;439;
440;53;Economics, Econometrics and Finance;3;440;
441;53;Sports and Recreations;1;441;
442;53;Unspecified;3;442;
443;53;Biochemistry, Genetics and Molecular Biology;1;443;
444;53;Social Sciences;4;444;
445;54;Business, Management and Accounting;27;445;
446;54;Social Sciences;7;446;
447;54;Unspecified;5;447;
448;55;Business, Management and Accounting;70;448;
449;55;Physics and Astronomy;1;449;
450;55;Psychology;14;450;
451;55;Unspecified;10;451;
452;55;Engineering;3;452;
453;55;Medicine and Dentistry;1;453;
454;55;Design;1;454;
455;55;Computer Science;1;455;
456;55;Arts and Humanities;3;456;
457;55;Biochemistry, Genetics and Molecular Biology;1;457;
458;55;Social Sciences;20;458;
459;55;Economics, Econometrics and Finance;7;459;
460;56;Business, Management and Accounting;7;460;
461;56;Social Sciences;5;461;
462;56;Computer Science;1;462;
463;56;Economics, Econometrics and Finance;1;463;
464;57;Business, Management and Accounting;184;464;
465;57;Materials Science;2;465;
466;57;Physics and Astronomy;1;466;
467;57;Psychology;7;467;
468;57;Sports and Recreations;2;468;
469;57;Computer Science;5;469;
470;57;Unspecified;25;470;
471;57;Pharmacology, Toxicology and Pharmaceutical Science;1;471;
472;57;Engineering;3;472;
473;57;Medicine and Dentistry;1;473;
474;57;Design;1;474;
475;57;Arts and Humanities;2;475;
476;57;Neuroscience;1;476;
477;57;Agricultural and Biological Sciences;1;477;
478;57;Nursing and Health Professions;2;478;
479;57;Social Sciences;39;479;
480;57;Economics, Econometrics and Finance;5;480;
481;58;Business, Management and Accounting;1;481;
482;59;Business, Management and Accounting;75;482;
483;59;Materials Science;1;483;
484;59;Psychology;30;484;
485;59;Sports and Recreations;3;485;
486;59;Computer Science;4;486;
487;59;Unspecified;15;487;
488;59;Engineering;3;488;
489;59;Design;2;489;
490;59;Arts and Humanities;1;490;
491;59;Neuroscience;1;491;
492;59;Agricultural and Biological Sciences;2;492;
493;59;Nursing and Health Professions;1;493;
494;59;Social Sciences;20;494;
495;59;Economics, Econometrics and Finance;2;495;
496;60;Business, Management and Accounting;43;496;
497;60;Psychology;3;497;
499;60;Engineering;2;499;
500;60;Computer Science;4;500;
501;60;Social Sciences;3;501;
502;61;Business, Management and Accounting;128;502;
503;61;Physics and Astronomy;1;503;
504;61;Psychology;5;504;
505;61;Environmental Science;3;505;
506;61;Unspecified;14;506;
507;61;Engineering;2;507;
508;61;Medicine and Dentistry;1;508;
509;61;Design;2;509;
510;61;Arts and Humanities;2;510;
511;61;Social Sciences;26;511;
512;61;Economics, Econometrics and Finance;8;512;
513;62;Business, Management and Accounting;3;513;
514;62;Engineering;1;514;
515;63;Business, Management and Accounting;49;515;
516;63;Physics and Astronomy;1;516;
517;63;Psychology;1;517;
518;63;Sports and Recreations;1;518;
519;63;Unspecified;6;519;
520;63;Engineering;2;520;
522;63;Economics, Econometrics and Finance;5;522;
523;64;Business, Management and Accounting;20;523;
524;64;Social Sciences;5;524;
525;64;Unspecified;4;525;
526;64;Psychology;4;526;
527;65;Business, Management and Accounting;213;527;
528;65;Linguistics;1;528;
529;65;Psychology;9;529;
530;65;Environmental Science;1;530;
531;65;Decision Sciences;3;531;
532;65;Computer Science;9;532;
533;65;Unspecified;28;533;
534;65;Engineering;22;534;
535;65;Medicine and Dentistry;2;535;
536;65;Design;3;536;
537;65;Arts and Humanities;2;537;
538;65;Agricultural and Biological Sciences;3;538;
539;65;Social Sciences;41;539;
540;65;Economics, Econometrics and Finance;15;540;
541;66;Business, Management and Accounting;5;541;
542;66;Philosophy;1;542;
543;67;Business, Management and Accounting;54;543;
544;67;Economics, Econometrics and Finance;2;544;
545;67;Unspecified;11;545;
546;67;Engineering;1;546;
547;67;Chemical Engineering;1;547;
548;67;Social Sciences;9;548;
549;67;Psychology;3;549;
550;68;Business, Management and Accounting;73;550;
551;68;Linguistics;1;551;
552;68;Psychology;28;552;
553;68;Decision Sciences;2;553;
554;68;Unspecified;13;554;
555;68;Engineering;3;555;
556;68;Biochemistry, Genetics and Molecular Biology;1;556;
557;68;Computer Science;2;557;
558;68;Arts and Humanities;1;558;
559;68;Chemistry;1;559;
560;68;Social Sciences;16;560;
561;68;Economics, Econometrics and Finance;3;561;
562;69;Business, Management and Accounting;62;562;
563;69;Psychology;1;563;
567;69;Arts and Humanities;1;567;
568;69;Social Sciences;6;568;
569;70;Business, Management and Accounting;71;569;
570;70;Economics, Econometrics and Finance;2;570;
571;70;Unspecified;14;571;
572;70;Engineering;4;572;
573;70;Computer Science;1;573;
574;70;Arts and Humanities;2;574;
575;70;Chemistry;1;575;
576;70;Social Sciences;16;576;
577;70;Psychology;32;577;
578;71;Business, Management and Accounting;141;578;
579;71;Materials Science;1;579;
580;71;Physics and Astronomy;2;580;
581;71;Psychology;52;581;
582;71;Environmental Science;2;582;
583;71;Computer Science;8;583;
584;71;Unspecified;15;584;
585;71;Engineering;2;585;
586;71;Design;2;586;
587;71;Arts and Humanities;3;587;
588;71;Agricultural and Biological Sciences;1;588;
589;71;Linguistics;1;589;
590;71;Social Sciences;51;590;
591;71;Economics, Econometrics and Finance;2;591;
592;72;Business, Management and Accounting;82;592;
593;72;Economics, Econometrics and Finance;1;593;
594;72;Environmental Science;1;594;
595;72;Philosophy;1;595;
596;72;Unspecified;12;596;
597;72;Engineering;6;597;
598;72;Computer Science;1;598;
599;72;Arts and Humanities;2;599;
600;72;Agricultural and Biological Sciences;1;600;
601;72;Social Sciences;12;601;
602;72;Psychology;25;602;
603;73;Business, Management and Accounting;6;603;
604;74;Business, Management and Accounting;2;604;
605;74;Psychology;1;605;
606;74;Unspecified;1;606;
607;74;Arts and Humanities;1;607;
609;75;Linguistics;3;609;
611;75;Psychology;5;611;
612;75;Sports and Recreations;1;612;
613;75;Decision Sciences;1;613;
614;75;Environmental Science;2;614;
615;75;Computer Science;2;615;
616;75;Unspecified;10;616;
617;75;Engineering;1;617;
618;75;Medicine and Dentistry;1;618;
619;75;Design;3;619;
620;75;Arts and Humanities;4;620;
621;75;Agricultural and Biological Sciences;1;621;
622;75;Social Sciences;68;622;
623;75;Economics, Econometrics and Finance;5;623;
624;76;Business, Management and Accounting;71;624;
625;76;Economics, Econometrics and Finance;2;625;
626;76;Environmental Science;1;626;
627;76;Philosophy;2;627;
628;76;Unspecified;13;628;
629;76;Design;1;629;
630;76;Arts and Humanities;3;630;
631;76;Social Sciences;27;631;
632;76;Psychology;6;632;
633;77;Business, Management and Accounting;367;633;
634;77;Materials Science;1;634;
635;77;Physics and Astronomy;1;635;
636;77;Psychology;12;636;
637;77;Sports and Recreations;1;637;
638;77;Decision Sciences;1;638;
639;77;Environmental Science;5;639;
640;77;Computer Science;1;640;
641;77;Unspecified;65;641;
642;77;Engineering;15;642;
643;77;Medicine and Dentistry;1;643;
644;77;Design;2;644;
645;77;Arts and Humanities;7;645;
646;77;Mathematics;1;646;
647;77;Agricultural and Biological Sciences;1;647;
648;77;Earth and Planetary Sciences;1;648;
649;77;Social Sciences;115;649;
650;77;Economics, Econometrics and Finance;31;650;
651;78;Business, Management and Accounting;104;651;
652;78;Economics, Econometrics and Finance;4;652;
653;78;Environmental Science;1;653;
654;78;Unspecified;13;654;
655;78;Engineering;2;655;
656;78;Arts and Humanities;1;656;
657;78;Social Sciences;12;657;
658;78;Psychology;5;658;
659;79;Business, Management and Accounting;99;659;
660;79;Physics and Astronomy;1;660;
661;79;Economics, Econometrics and Finance;2;661;
662;79;Environmental Science;2;662;
663;79;Unspecified;11;663;
664;79;Engineering;3;664;
665;79;Design;2;665;
666;79;Computer Science;16;666;
667;79;Arts and Humanities;3;667;
668;79;Agricultural and Biological Sciences;3;668;
669;79;Social Sciences;31;669;
670;79;Psychology;16;670;
671;80;Business, Management and Accounting;125;671;
672;80;Linguistics;1;672;
673;80;Physics and Astronomy;1;673;
674;80;Psychology;10;674;
675;80;Computer Science;4;675;
676;80;Unspecified;16;676;
677;80;Engineering;8;677;
679;80;Design;6;679;
680;80;Arts and Humanities;6;680;
681;80;Agricultural and Biological Sciences;2;681;
682;80;Nursing and Health Professions;1;682;
683;80;Social Sciences;34;683;
684;80;Economics, Econometrics and Finance;2;684;
685;81;Business, Management and Accounting;127;685;
686;81;Linguistics;1;686;
687;81;Psychology;19;687;
688;81;Decision Sciences;1;688;
689;81;Unspecified;8;689;
690;81;Pharmacology, Toxicology and Pharmaceutical Science;1;690;
691;81;Engineering;2;691;
692;81;Medicine and Dentistry;2;692;
693;81;Biochemistry, Genetics and Molecular Biology;1;693;
694;81;Arts and Humanities;2;694;
695;81;Agricultural and Biological Sciences;1;695;
696;81;Social Sciences;50;696;
697;81;Economics, Econometrics and Finance;8;697;
698;82;Business, Management and Accounting;44;698;
699;82;Economics, Econometrics and Finance;2;699;
700;82;Environmental Science;1;700;
701;82;Unspecified;8;701;
702;82;Medicine and Dentistry;1;702;
703;82;Arts and Humanities;2;703;
704;82;Mathematics;1;704;
705;82;Social Sciences;8;705;
706;82;Psychology;15;706;
707;83;Business, Management and Accounting;57;707;
708;83;Materials Science;1;708;
709;83;Economics, Econometrics and Finance;2;709;
710;83;Chemical Engineering;1;710;
711;83;Unspecified;17;711;
712;83;Engineering;2;712;
713;83;Biochemistry, Genetics and Molecular Biology;1;713;
714;83;Computer Science;1;714;
715;83;Social Sciences;6;715;
716;83;Psychology;6;716;
717;84;Business, Management and Accounting;52;717;
718;84;Materials Science;1;718;
719;84;Psychology;18;719;
720;84;Unspecified;14;720;
721;84;Medicine and Dentistry;1;721;
722;84;Biochemistry, Genetics and Molecular Biology;1;722;
723;84;Chemical Engineering;1;723;
724;84;Arts and Humanities;1;724;
725;84;Neuroscience;1;725;
726;84;Agricultural and Biological Sciences;1;726;
727;84;Social Sciences;5;727;
728;84;Economics, Econometrics and Finance;2;728;
729;85;Business, Management and Accounting;124;729;
730;85;Materials Science;1;730;
731;85;Psychology;5;731;
732;85;Sports and Recreations;1;732;
733;85;Philosophy;1;733;
734;85;Unspecified;32;734;
735;85;Computer Science;4;735;
736;85;Arts and Humanities;2;736;
737;85;Agricultural and Biological Sciences;1;737;
738;85;Social Sciences;11;738;
739;85;Economics, Econometrics and Finance;7;739;
740;86;Business, Management and Accounting;115;740;
741;86;Psychology;14;741;
742;86;Sports and Recreations;2;742;
743;86;Unspecified;23;743;
744;86;Engineering;1;744;
745;86;Computer Science;5;745;
746;86;Agricultural and Biological Sciences;1;746;
747;86;Social Sciences;15;747;
748;86;Economics, Econometrics and Finance;5;748;
749;87;Business, Management and Accounting;15;749;
750;87;Engineering;2;750;
751;87;Social Sciences;2;751;
752;87;Environmental Science;1;752;
753;88;Business, Management and Accounting;3;753;
754;89;Business, Management and Accounting;31;754;
756;89;Economics, Econometrics and Finance;1;756;
757;89;Unspecified;11;757;
758;89;Engineering;1;758;
759;89;Arts and Humanities;2;759;
760;89;Social Sciences;19;760;
761;89;Psychology;12;761;
762;90;Business, Management and Accounting;34;762;
763;90;Nursing and Health Professions;1;763;
764;90;Engineering;2;764;
765;90;Medicine and Dentistry;1;765;
766;90;Biochemistry, Genetics and Molecular Biology;1;766;
767;90;Unspecified;7;767;
768;90;Social Sciences;7;768;
769;91;Business, Management and Accounting;58;769;
770;91;Economics, Econometrics and Finance;4;770;
771;91;Nursing and Health Professions;1;771;
772;91;Unspecified;12;772;
773;91;Computer Science;2;773;
774;91;Arts and Humanities;1;774;
775;91;Social Sciences;4;775;
776;91;Psychology;1;776;
777;92;Business, Management and Accounting;34;777;
778;92;Economics, Econometrics and Finance;1;778;
779;92;Unspecified;6;779;
780;92;Biochemistry, Genetics and Molecular Biology;1;780;
781;92;Computer Science;1;781;
782;92;Social Sciences;8;782;
783;92;Psychology;20;783;
784;93;Social Sciences;1;784;
785;93;Computer Science;2;785;
786;94;Business, Management and Accounting;31;786;
787;94;Economics, Econometrics and Finance;1;787;
788;94;Decision Sciences;1;788;
789;94;Nursing and Health Professions;1;789;
790;94;Engineering;2;790;
791;94;Medicine and Dentistry;1;791;
792;94;Design;1;792;
793;94;Unspecified;7;793;
794;94;Social Sciences;5;794;
795;94;Psychology;1;795;
796;95;Business, Management and Accounting;3;796;
797;95;Social Sciences;1;797;
798;96;Business, Management and Accounting;90;798;
799;96;Economics, Econometrics and Finance;3;799;
800;96;Environmental Science;3;800;
801;96;Unspecified;17;801;
802;96;Engineering;4;802;
803;96;Medicine and Dentistry;1;803;
804;96;Biochemistry, Genetics and Molecular Biology;1;804;
805;96;Arts and Humanities;2;805;
806;96;Social Sciences;26;806;
807;97;Business, Management and Accounting;56;807;
808;97;Linguistics;1;808;
809;97;Economics, Econometrics and Finance;2;809;
810;97;Unspecified;18;810;
811;97;Engineering;2;811;
812;97;Design;1;812;
813;97;Computer Science;15;813;
814;97;Arts and Humanities;2;814;
815;97;Biochemistry, Genetics and Molecular Biology;1;815;
816;97;Social Sciences;20;816;
817;97;Psychology;5;817;
818;98;Business, Management and Accounting;89;818;
819;98;Economics, Econometrics and Finance;1;819;
820;98;Unspecified;13;820;
821;98;Nursing and Health Professions;1;821;
822;98;Engineering;3;822;
823;98;Biochemistry, Genetics and Molecular Biology;1;823;
824;98;Computer Science;3;824;
825;98;Arts and Humanities;2;825;
826;98;Agricultural and Biological Sciences;1;826;
827;98;Social Sciences;38;827;
828;98;Psychology;7;828;
829;99;Business, Management and Accounting;55;829;
830;99;Economics, Econometrics and Finance;4;830;
