handle;year;cites;if_;if_5;docs_published;h_index;type;issn1;issn2;type2;year3;scimago_id;sjr;type4;year5;jourqual;type6;year7;bwl;type8;year9;vwl;journal_name
RePEc:aes:ijeptp;2017;2;null;0.09;0;3;ReDIF-Article;2247-7225;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;International Journal of Economic Practices and Theories
RePEc:aes:infoec;2017;15;0.05;0.06;27;5;ReDIF-Article;1453-1305;1842-8088;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Informatica Economica
RePEc:aes:jdreco;2017;;null;null;0;;ReDIF-Article;2066-611X;2068-3782;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Journal of Doctoral Research in Economics
RePEc:aes:jetimm;2017;1;0.03;0.03;28;1;ReDIF-Article;2537-5865;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Journal of Emerging Trends in Marketing and Management
RePEc:aes:jsesro;2017;3;0.04;0.06;5;1;ReDIF-Article;2285-388X;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Journal of Social and Economic Statistics
RePEc:aes:sccece;2017;;null;null;0;;ReDIF-Article;0585-7511;1843-0112;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Studii si Cercetari de Calcul Economic si Cibernetica Economica Description: This is the official journal of the Journal Studii si Cercetari de Calcul Economic si Cibernetica Economica
RePEc:ahe:invest;2017;5;0.06;0.06;16;2;ReDIF-Article;1698-6989;2340-3373;scimago;2018;20500195102;0.195;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;E;Investigaciones de Historia Económica - Economic History Research (IHE-EHR), Journal of the Spanish Economic History Association
RePEc:aio:aucsse;2017;6;0.03;0.02;19;3;ReDIF-Article;1223-365X;1843-3723;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Annals of University of Craiova - Economic Sciences Series
RePEc:aio:fpvfcf;2017;2;null;0.02;13;3;ReDIF-Article;1583-3712;2392-8085;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Finante - provocarile viitorului (Finance - Challenges of the Future)
RePEc:aio:manmar;2017;8;0.04;0.06;16;3;ReDIF-Article;1841-2416;2068-9667;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Management and Marketing Journal
RePEc:aio:rteyej;2017;1;null;0.01;0;2;ReDIF-Article;1583-9982;2067-0052;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Revista Tinerilor Economisti (The Young Economists Journal)
RePEc:aka:aoecon;2017;28;0.17;0.12;41;5;ReDIF-Article;0001-6373;1588-2659;scimago;2018;18217;0.311;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;E;Acta Oeconomica
RePEc:aka:soceco;2017;8;0.06;0.05;34;5;ReDIF-Article;1588-9726;1588-970X;scimago;2018;10600153342;0.181;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Society and Economy
RePEc:alg:jijdte;2017;;null;null;11;;ReDIF-Article;2459-5934;2584-332X;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;International Journal of Digital Technology and Economy
RePEc:amf:ijhcda;2017;;null;null;0;;ReDIF-Article;2286-1084;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;International Journal for Human Capital Development
RePEc:amf:ijrtfa;2017;;null;null;0;;ReDIF-Article;2285-7958;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;International Journal for Responsible Tourism
RePEc:ami:journl;2017;27;0.12;0.16;42;4;ReDIF-Article;1583-4387;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;F;Handelsblatt-Ranking VWL;2017;;Journal of Accounting and Management Information Systems
RePEc:ann:inecon;2017;;null;null;0;1;ReDIF-Article;2082-4440;2300-6005;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;International Economics
RePEc:ann:jofafl;2017;;null;null;0;;ReDIF-Article;2353-5601;2391-6478;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Journal of Finance and Financial Law
RePEc:ann:journl;2017;;null;null;29;1;ReDIF-Article;1899-2226;2353-4869;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Annales. Ethics in Economic Life
RePEc:anp:econom;2017;14;0.13;0.1;9;7;ReDIF-Article;1517-7580;2358-2820;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;F;Economia
RePEc:anr:refeco;2017;218;1.62;2.53;0;24;ReDIF-Article;1941-1367;1941-1375;scimago;2018;19700200702;4.584;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;A;Handelsblatt-Ranking VWL;2017;A;Annual Review of Financial Economics
RePEc:anr:reseco;2017;197;1.33;1.77;0;20;ReDIF-Article;1941-1340;1941-1359;scimago;2018;19700200703;1.894;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;Annual Review of Resource Economics
RePEc:anr:reveco;2017;635;3.8;5.12;44;42;ReDIF-Article;1941-1383;1941-1391;scimago;2018;19700200701;8.79;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;A+;Handelsblatt-Ranking VWL;2017;A;Annual Review of Economics
RePEc:apt:jouiss;2017;;null;null;0;3;ReDIF-Article;1778-4379;0988-3266;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;???
RePEc:arh:jrujec;2017;;null;null;0;1;ReDIF-Article;2405-4739;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Russian Journal of Economics
RePEc:ath:journl;2017;3;0.02;0.01;32;3;ReDIF-Article;2065-8168;2068-2077;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Internal Auditing and Risk Management
RePEc:aud:audfin;2017;8;0.15;0.15;28;2;ReDIF-Article;1844-8801;1583-5812;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;The Audit Financiar journal
RePEc:bbs:limser;2017;;null;null;0;;ReDIF-Article;2498-9037;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Logisztika - Informatika - Menedzsment
RePEc:bbs:prospe;2017;;null;null;23;1;ReDIF-Article;2064-759X;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Prosperitas
RePEc:bcr:ensayo;2017;1;0.07;0.02;0;4;ReDIF-Article;0325-3937;1850-6046;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;F;Ensayos Económicos
RePEc:beh:jbepv1;2017;;null;null;33;1;ReDIF-Article;2572-8997;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Journal of Behavioral Economics for Policy
RePEc:beo:ekidpr;2017;;null;null;29;;ReDIF-Article;2217-6217;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;F;Ekonomske ideje i praksa
RePEc:beo:journl;2017;14;0.11;0.12;22;5;ReDIF-Article;0013-3264;1820-7375;scimago;2018;6700153280;0.229;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;E;Economic Annals
RePEc:bic:journl;2017;24;0.33;0.49;10;6;ReDIF-Article;1406-099X;2334-4385;scimago;2018;14000156246;0.176;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;E;Baltic Journal of Economics
RePEc:bla:abacus;2017;54;0.37;0.44;21;16;ReDIF-Article;0001-3072;1467-6281;scimago;2018;100147335;0.889;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;;Abacus
RePEc:bla:acctfi;2017;145;0.3;0.57;68;20;ReDIF-Article;0810-5391;1467-629X;scimago;2018;200147123;0.445;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;;Accounting and Finance
RePEc:bla:afrdev;2017;258;1.07;1.16;67;14;ReDIF-Article;1017-6772;1467-8268;scimago;2018;13476;0.545;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;D;African Development Review
RePEc:bla:agecon;2017;456;0.92;1.3;71;40;ReDIF-Article;0169-5150;1574-0862;scimago;2018;73771;1.815;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;Agricultural Economics
RePEc:bla:ausact;2017;27;0.11;0.16;37;12;ReDIF-Article;1035-6908;1835-2561;scimago;2018;18700156708;0.472;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;;Australian Accounting Review
RePEc:bla:coecpo;2017;167;0.67;0.66;47;33;ReDIF-Article;1074-3529;1465-7287;scimago;2018;21995;0.475;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;F;Contemporary Economic Policy
RePEc:bla:corgov;2017;;null;null;0;25;ReDIF-Article;0964-8410;1467-8683;scimago;2018;22009;1.432;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;;Corporate Governance: An International Review
RePEc:bla:ecanth;2017;3;0.06;0.05;26;1;ReDIF-Article;2330-4847;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Economic Anthropology
RePEc:bla:ecinqu;2017;642;1.06;1.23;108;34;ReDIF-Article;0095-2583;1465-7295;scimago;2018;20002;1.134;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;;Economic Inquiry
RePEc:bla:ijethy;2017;32;0.12;0.26;23;14;ReDIF-Article;1742-7355;1742-7363;scimago;2018;19700180906;0.197;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;E;International Journal of Economic Theory
RePEc:bla:ijhplm;2017;6;0.04;0.06;66;2;ReDIF-Article;0749-6753;1099-1751;scimago;2018;29814;0.522;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;;International Journal of Health Planning and Management
RePEc:bla:ijurrs;2017;140;0.13;0.2;83;21;ReDIF-Article;0309-1317;1468-2427;scimago;2018;13892;2.729;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;B;International Journal of Urban and Regional Research
RePEc:bla:indres;2017;122;0.64;0.64;30;13;ReDIF-Article;0019-8676;1468-232X;scimago;2018;20146;1.385;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Industrial Relations: A Journal of Economy and Society
RePEc:bla:inecol;2017;92;0.33;0.27;126;8;ReDIF-Article;1088-1980;1530-9290;scimago;2018;23411;1.486;vhb-jourqual;2015;A;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;;Journal of Industrial Ecology
RePEc:bla:intfin;2017;127;1.03;1.41;12;37;ReDIF-Article;1367-0271;1468-2362;scimago;2018;16904;0.424;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;E;International Finance
RePEc:bla:intlab;2017;55;0.19;0.33;14;20;ReDIF-Article;0020-7780;1564-913X;scimago;2018;20213;0.438;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;D;International Labour Review
RePEc:bla:intmig;2017;88;0.13;0.33;50;7;ReDIF-Article;0197-9183;1747-7379;scimago;2018;26857;1.516;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;International Migration Review
RePEc:bla:irvfin;2017;104;0.47;0.95;23;18;ReDIF-Article;1369-412X;1468-2443;scimago;2018;19900192135;0.397;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;E;International Review of Finance
RePEc:bla:istatr;2017;47;0.13;0.11;48;12;ReDIF-Article;0306-7734;1751-5823;scimago;2018;12068;1.533;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;;International Statistical Review
RePEc:bla:jacrfn;2017;77;0.25;0.36;31;35;ReDIF-Article;1078-1196;;scimago;2018;;;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;F;Handelsblatt-Ranking VWL;2017;;Journal of Applied Corporate Finance
RePEc:bla:jageco;2017;232;1.04;1.15;44;40;ReDIF-Article;0021-857X;1477-9552;scimago;2018;88586;1.1;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;C;Journal of Agricultural Economics
RePEc:bla:jbfnac;2017;176;0.52;0.79;46;37;ReDIF-Article;0306-686X;1468-5957;scimago;2018;100147313;0.956;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Journal of Business Finance & Accounting
RePEc:bla:jcmkts;2017;225;0.28;0.3;157;31;ReDIF-Article;0021-9886;1468-5965;scimago;2018;19875;2.017;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;B;Journal of Common Market Studies
RePEc:bla:jconsa;2017;71;0.59;0.53;30;8;ReDIF-Article;0022-0078;1745-6606;scimago;2018;21759;0.695;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;E;Journal of Consumer Affairs
RePEc:bla:jecrev;2017;64;0.15;0.48;30;20;ReDIF-Article;1352-4739;1468-5876;scimago;2018;81032;0.507;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;E;The Japanese Economic Review
RePEc:bla:jfnres;2017;74;0.5;0.73;14;37;ReDIF-Article;0270-2592;1475-6803;scimago;2018;24380;0.76;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;E;Journal of Financial Research
RePEc:bla:joares;2017;388;2.29;2.31;32;75;ReDIF-Article;0021-8456;1475-679X;scimago;2018;29857;10.151;vhb-jourqual;2015;A+;Handelsblatt-Ranking BWL;2018;A;Handelsblatt-Ranking VWL;2017;A;Journal of Accounting Research
RePEc:bla:jomstd;2017;385;1.01;1.46;49;54;ReDIF-Article;0022-2380;1467-6486;scimago;2018;20650;3.141;vhb-jourqual;2015;A;Handelsblatt-Ranking BWL;2018;A;Handelsblatt-Ranking VWL;2017;;Journal of Management Studies
RePEc:bla:jorssa;2017;203;0.7;0.73;77;31;ReDIF-Article;0964-1998;1467-985X;scimago;2018;13530;1.69;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;Journal of the Royal Statistical Society Series A
RePEc:bla:jorssb;2017;252;0.73;1.31;70;44;ReDIF-Article;1369-7412;1467-9868;scimago;2018;13531;6.413;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;A;Handelsblatt-Ranking VWL;2017;A;Journal of the Royal Statistical Society Series B
RePEc:bla:jorssc;2017;82;0.3;0.41;54;17;ReDIF-Article;0035-9254;1467-9876;scimago;2018;13533;1.323;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;;Journal of the Royal Statistical Society Series C
RePEc:bla:jpbect;2017;152;0.55;0.7;62;31;ReDIF-Article;1097-3923;1467-9779;scimago;2018;5600152814;0.935;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Journal of Public Economic Theory
RePEc:bla:jregsc;2017;334;0.83;0.87;47;48;ReDIF-Article;0022-4146;1467-9787;scimago;2018;13933;1.431;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;Journal of Regional Science
RePEc:bla:jrinsu;2017;197;0.94;1.05;47;29;ReDIF-Article;0022-4367;1539-6975;scimago;2018;18617;1.197;vhb-jourqual;2015;A;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;C;Journal of Risk & Insurance
RePEc:bla:jscmgt;2017;58;1.09;1.18;15;6;ReDIF-Article;1523-2409;1745-493X;scimago;2018;100147317;6.439;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;A;Handelsblatt-Ranking VWL;2017;;Journal of Supply Chain Management
RePEc:bla:jtsera;2017;133;0.36;0.49;53;25;ReDIF-Article;0143-9782;1467-9892;scimago;2018;12140;1.189;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;Journal of Time Series Analysis
RePEc:bla:kyklos;2017;129;0.96;0.95;24;52;ReDIF-Article;0023-5962;1467-6435;scimago;2018;16110;1.128;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Kyklos
RePEc:bla:manchs;2017;151;0.77;0.65;37;33;ReDIF-Article;1463-6786;1467-9957;scimago;2018;29020;0.305;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;F;Manchester School
RePEc:bla:mathfi;2017;108;1.3;1.4;35;53;ReDIF-Article;0960-1627;1467-9965;scimago;2018;18173;2.834;vhb-jourqual;2015;B;Handelsblatt-Ranking BWL;2018;B;Handelsblatt-Ranking VWL;2017;C;Mathematical Finance
RePEc:bla:mathna;2017;1;null;null;169;1;ReDIF-Article;0025-584X;1522-2616;scimago;2018;25107;0.882;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Mathematische Nachrichten
RePEc:bla:metroe;2017;115;0.86;0.79;39;26;ReDIF-Article;0026-1386;1467-999X;scimago;2018;21781;0.927;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Metroeconomica
RePEc:bla:mgorev;2017;18;null;0.22;0;11;ReDIF-Article;1740-8776;1740-8784;scimago;2018;18700156709;0.97;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Management and Organization Review
RePEc:bla:obuest;2017;410;1.62;1.88;48;71;ReDIF-Article;0305-9049;1468-0084;scimago;2018;22902;1.172;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;Oxford Bulletin of Economics and Statistics
RePEc:bla:pbudge;2017;19;0.14;0.3;26;3;ReDIF-Article;0275-1100;1540-5850;scimago;2018;5700168589;0.472;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;D;Public Budgeting & Finance
RePEc:bla:pmomgt;2017;;null;null;0;10;ReDIF-Article;0954-0962;1467-9302;scimago;2018;17181;0.561;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;;Public Money & Management
RePEc:bla:polstu;2017;47;0.18;0.19;0;13;ReDIF-Article;0032-3217;1467-9248;scimago;2018;22890;1.922;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;;Political Studies
RePEc:bla:popdev;2017;135;0.49;0.55;61;33;ReDIF-Article;0098-7921;1728-4457;scimago;2018;27364;2.892;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;C;Population and Development Review
RePEc:bla:popmgt;2017;161;0.29;0.39;128;8;ReDIF-Article;1937-5956;1059-1478;scimago;2018;22405;3.283;vhb-jourqual;2015;A;Handelsblatt-Ranking BWL;2018;B;Handelsblatt-Ranking VWL;2017;B;Production and Operations Management
RePEc:bla:ppolre;2017;;null;null;0;2;ReDIF-Article;0954-0962;1467-9302;scimago;2018;17181;0.561;vhb-jourqual;2015;C;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;;Public Policy Review
RePEc:bla:pstrev;2017;13;null;0.01;0;6;ReDIF-Article;1478-9299;1478-9302;scimago;2018;4000149603;0.545;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Political Studies Review
RePEc:bla:randje;2017;398;2.19;2.29;43;49;ReDIF-Article;0741-6261;1756-2171;scimago;2018;23672;4.376;vhb-jourqual;2015;A;Handelsblatt-Ranking BWL;2018;B;Handelsblatt-Ranking VWL;2017;B;RAND Journal of Economics
RePEc:bla:reviec;2017;414;1.86;1.38;49;50;ReDIF-Article;0965-7576;1467-9396;scimago;2018;24227;1.138;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;D;Handelsblatt-Ranking VWL;2017;D;Review of International Economics
RePEc:bla:revpol;2017;64;0.09;0.27;41;12;ReDIF-Article;1541-1338;1541-132X;scimago;2018;50039;0.698;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;;Review of Policy Research
RePEc:bla:revurb;2017;15;0.27;0.25;12;3;ReDIF-Article;0917-0553;1467-940X;scimago;2018;15401;0.17;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;E;Review of Urban & Regional Development Studies
RePEc:bla:rmgtin;2017;14;0.15;0.21;12;10;ReDIF-Article;1098-1616;1540-6296;scimago;2018;5000153701;0.179;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;;Risk Management and Insurance Review
RePEc:bla:sajeco;2017;156;1.16;0.94;23;23;ReDIF-Article;0038-2280;1684-0097;scimago;2018;25477;0.416;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;E;South African Journal of Economics
RePEc:bla:scandj;2017;445;1.57;2;41;71;ReDIF-Article;1467-9442;0347-0520;scimago;2018;24849;1.815;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;C;Scandinavian Journal of Economics
RePEc:bla:scjsta;2017;121;0.28;0.38;47;22;ReDIF-Article;0303-6898;1467-9469;scimago;2018;14072;1.496;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;C;Handelsblatt-Ranking VWL;2017;;Scandinavian Journal of Statistics
RePEc:bla:socsci;2017;58;0.11;0.16;66;20;ReDIF-Article;0038-4941;1540-6237;scimago;2018;26439;0.801;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;D;Social Science Quarterly
RePEc:bla:srbeha;2017;26;0.13;0.18;67;4;ReDIF-Article;1092-7026;1099-1743;scimago;2018;12909;0.465;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;E;Handelsblatt-Ranking VWL;2017;;Systems Research and Behavioral Science
RePEc:bla:stanee;2017;31;0.15;0.26;14;17;ReDIF-Article;0039-0402;1467-9574;scimago;2018;14188;0.379;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;E;Statistica Neerlandica
RePEc:bla:stratm;2017;485;1.34;1.4;147;16;ReDIF-Article;0143-2095;1097-0266;scimago;2018;23157;8.835;vhb-jourqual;2015;A;Handelsblatt-Ranking BWL;2018;A+;Handelsblatt-Ranking VWL;2017;;Strategic Management Journal
